dist_name,state_name,ST_CEN_CD,DT_CEN_CD,censuscode,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,state_name_full
pilibhit,UP,9,20,151,43.37407407407406,44.79074074074073,52.74074074074075,55.20555555555557,54.95555555555555,57.909259259259265,60.61666666666668,57.52592592592595,60.3611111111111,65.45555555555555,69.75185185185188,69.09444444444443,70.20555555555553,72.43888888888888,67.18148148148147,67.70370370370371,62.55740740740738,69.12592592592594,70.08333333333333,68.36481481481485,69.27407407407406,62.694444444444464,64.34814814814814,Uttar Pradesh
pratapgarh,UP,9,42,173,81.08461538461538,74.2173076923077,81.25000000000001,84.05192307692309,88.02692307692308,95.72499999999998,96.79423076923074,90.02692307692307,84.03076923076922,90.11923076923078,107.49423076923077,98.52692307692305,97.2442307692308,107.14230769230767,97.37692307692308,100.1269230769231,93.14038461538459,88.71923076923078,112.88076923076927,105.03461538461536,97.78076923076925,109.96538461538464,105.66153846153841,Uttar Pradesh
rae_bareli,UP,9,27,158,81.96666666666663,78.81746031746032,85.52698412698409,87.94761904761906,91.484126984127,98.74761904761903,100.27301587301584,93.05396825396822,86.94603174603174,93.90793650793654,110.1619047619048,103.77301587301588,101.22063492063495,108.74603174603173,97.24603174603175,102.36190476190481,96.17142857142855,93.90793650793645,111.58253968253972,107.96190476190478,103.80000000000003,112.52063492063495,105.3349206349206,Uttar Pradesh
rampur,UP,9,5,136,43.55365853658536,44.47317073170733,50.69268292682927,48.67317073170732,51.74634146341465,57.09268292682927,57.707317073170735,53.480487804878045,54.69756097560977,57.917073170731705,63.31707317073168,61.38048780487804,66.0780487804878,65.21707317073171,61.21219512195122,63.40975609756096,61.1658536585366,64.6609756097561,67.66341463414633,62.26585365853658,66.44146341463414,59.014634146341436,63.39756097560973,Uttar Pradesh
saharanpur,UP,9,1,132,39.1925925925926,41.85185185185184,47.92592592592592,46.75555555555554,50.59814814814814,55.14259259259261,57.79444444444442,51.4259259259259,55.466666666666654,57.63148148148148,65.38148148148149,61.74814814814815,66.51851851851853,68.88703703703703,57.951851851851856,65.33703703703704,63.46111111111112,68.32037037037037,74.22592592592592,65.08333333333333,70.44814814814812,61.44814814814816,63.038888888888884,Uttar Pradesh
sant_kabir_nagar,UP,9,55,186,67.58437500000001,65.49374999999998,76.20937500000002,86.60624999999997,80.2625,87.91874999999999,86.70937500000002,86.515625,91.57812500000001,90.9125,101.26562500000001,100.56249999999997,99.54374999999999,109.82500000000002,98.35625000000002,97.48437500000003,89.496875,98.44375,106.49687499999999,97.140625,97.50312499999998,98.84062500000002,98.84687500000005,Uttar Pradesh
sant_ravi_das_nagar,UP,9,67,198,73.59090909090911,69.85000000000001,74.08636363636364,77.93636363636365,81.75,88.28181818181818,88.43181818181817,83.11818181818181,77.0,84.43636363636367,99.32727272727271,89.81363636363636,86.5409090909091,99.01818181818182,93.0909090909091,93.19545454545454,87.84090909090911,80.88636363636364,102.35909090909091,95.54090909090907,91.10454545454544,105.15,99.92272727272726,Uttar Pradesh
shahjahanpur,UP,9,21,152,64.7279411764706,63.282352941176484,70.94852941176471,74.66176470588236,77.5764705882353,84.17941176470588,84.0294117647059,80.43382352941173,78.81470588235294,83.47058823529409,92.55147058823529,92.20882352941182,97.60000000000002,99.94117647058827,87.28823529411765,94.3823529411765,86.22058823529412,92.19999999999997,93.33970588235292,93.76029411764706,91.80147058823528,87.33235294117648,87.52941176470594,Uttar Pradesh
shrawasti,UP,9,50,181,49.5948717948718,50.864102564102566,60.984615384615374,67.1128205128205,60.515384615384626,64.64871794871796,68.26410256410259,65.99999999999999,70.17435897435897,70.62820512820512,74.74102564102566,78.3153846153846,75.16923076923078,87.4948717948718,80.31282051282051,73.36153846153846,70.93589743589745,80.02820512820514,78.55384615384617,76.8846153846154,77.52307692307691,75.96923076923075,73.27948717948718,Uttar Pradesh
siddharth_nagar,UP,9,53,184,55.175,55.88863636363636,65.7590909090909,75.5340909090909,66.18181818181819,69.86818181818182,71.93863636363636,72.77272727272727,79.47727272727273,76.75227272727271,82.49090909090907,85.91136363636365,82.65454545454546,93.22727272727273,83.63181818181818,78.32954545454544,74.11136363636362,85.94545454545455,86.04772727272727,80.55681818181819,82.74090909090911,81.32727272727271,79.59772727272728,Uttar Pradesh
